words,score
abstract,5
academic,3
academics,3
analysis,4
appendix,4
approach,2
article,2
author,2
background,1
cite,2
concept,1
conclusion,4
conduct,2
context,1
correspond,1
data,2
dataset,2
dependent,1
development,1
discipline,2
discussion,4
,
document,2
doi,5
email,2
examine,2
factor,1
fig,3
figure,3
finding,2
hypotheses,3
IEEE,3
implication,1
interpretation,1
introduction,3
issue,2
journal,1
keywords,3
limitation,2
measure,2
method,3
,
,
methodology,2
notes,2
page,1
paper,3
perform,2
ph.d,2
predict,2
problem,2
prof,1
publication,3
purpose,2
questionaire,2
reason,1
reference,4
research,3
researcher,2
resource,2
result,3
,
review,3
,
,
sample,2
section,2
skill,1
strategy,1
study,3
survey,2
table,3
technique,2
university,2
usage,1
use,1
variable,2
vol,4
